proc,time
2,0.7650031197658225
3,1.8032011605310057
4,2.895855361019447
5,4.447594680607819
6,6.098066693336316
7,8.295242822077073
8,10.011008415527279
9,12.798389828870544
10,15.005861804767207
11,18.386763477260722
12,20.954755773937134
13,24.27732737994736
14,26.890243830394134
15,30.814350047571413
16,33.18481193701537
17,36.681803724245526
18,39.80518512008455
19,43.58603314938081
20,46.67135110475449
21,50.89067676855715
22,54.49914940341544
23,58.8697254350806
24,62.2580937957321
25,66.84518507632393
26,70.83724296575768
27,75.9413112789654
28,79.44613285789877
29,84.35706830263224
30,88.81657436219842
31,93.99193933468578
32,97.17892161492645
33,102.58083635980401
34,107.2587290172501
35,112.72403875292518
36,116.64744914015907
37,122.59396293404593
38,127.82704747623536
39,133.9704866871151
40,138.22276550191776
41,144.35641455579542
42,149.983353359884
43,156.38745431120293
44,160.8013127084784
45,167.76445873795188
46,173.6556764604098
47,180.68595288515453
48,185.20757977283168
49,192.530910552248
50,198.80089377370615
51,205.53997596084614
52,210.28295335156957
53,217.771540952807
54,224.26959761767344
55,232.05845806622688
56,236.77011384683752
57,244.03978844669246
58,251.14319860053646
59,258.399278059568
60,263.3029595655743
61,270.5993331249846
62,278.0395755149257
63,286.11902371569056
64,290.1614053423667
65,296.92845609335325
66,303.2895095640607
67,310.0960375874348
68,315.76758754763097
69,322.53915694482515
70,328.7394180861817
71,335.52569326812556
72,341.03587347790653
73,347.72804722351805
74,354.52316186351607
75,361.5077051834063
76,367.4524403278691
77,374.21171350813034
78,380.8244777446374
79,388.1042183026507
80,393.81993233153196
81,401.02052557934496
82,407.58975462339833
83,415.00110014138346
84,421.30939871847113
85,428.6515241997921
86,435.2286597624604
87,442.62772605721057
88,448.3257450514972
89,455.91118356731295
90,463.32112590178747
91,470.90381242312253
92,477.80567337893416
93,485.4568844351946
94,492.79954332171354
95,500.34078046293587
96,506.5049224835742
97,514.5810149030356
98,522.0321275708893
99,530.4351595602498
100,537.9532127023881
